Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 subprocess.py:695(_use_posix_spawn)
      287    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       31    0.000    0.000    0.002    0.000 ipaddress.py:1286(__init__)
        7    0.000    0.000    0.000    0.000 argparse.py:164(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        6    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       11    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1764(_parse_hextet)
       84    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
       32    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen ntpath>:1(<module>)
       61    0.000    0.000    0.006    0.000 lint_wiki.py:303(<genexpr>)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        4    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
       59    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       26    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       57    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        6    0.000    0.000    0.003    0.000 dataclasses.py:638(_frozen_get_del_attr)
       27    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      131    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
        3    0.000    0.000    0.000    0.000 argparse.py:1369(__init__)
       78    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        8    0.000    0.000    0.000    0.000 threading.py:1108(_delete)
       86    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       62    0.000    0.000    0.001    0.000 pathlib.py:234(_select_from)
